raw_specialty,processed_specialties,is_junk,specialty_count
PSYCHOLOGY (CHILD & ADOLESCENT),psychology child adolescent,False,1
PSYCHOLOGY â€“ PEDIATRIC,psychology â pediatric,False,1
PULMONARY DISEASE,,True,0
RADIATION ONCOLOGY,radiation oncology,False,1
REPRODUCTIVE ENDOCRINOLOGY,reproductive endocrinology,False,1
RHEUMATOLOGY,rheumatology,False,1
SLEEP MEDICINE,sleep medicineicine,False,1
SOCIAL WORK SERVICES,social work services,False,1
SOCIAL WORK SERVICES CHILD & ADOLESCENT,social work services child adolescent,False,1
SPEECH/LANGUAGE PATHOLOGY,speech language pathology,False,1
SPORTS MEDICINE,sports medicineicine,False,1
SUBSTANCE USE DISORDER PROFESSIONAL,,True,0
SURGERY,surgeryery,False,1
SURGICAL ONCOLOGY,surgeryical oncology,False,1
TEMPOROMANDIBULAR JOINT DISORDER,,True,0
THORACIC SURGERY,thoracic surgeryery,False,1
UROLOGY,urology,False,1
VASCULAR & INTERVENTIONAL RADIOLOGY,,True,0
WOMEN'S HEALTH CARE,women s health care,False,1
Addiction Medicine,addiction medicineicine,False,1
Allergy and Immunology,allergy immunology,False,1
Brain Injury Medicine,brain injury medicineicine,False,1
CHIROPRACTOR,chiropractor,False,1
CLINICAL NURSE SPECIALIST,clinical nurse specialist,False,1
Family Medicine - Physician,,True,0
GENERAL DENTISTRY,general dentistry,False,1
GENERAL PRACTICE,general practice,False,1
Hematology,hematology,False,1
HOSPICE AND PALLIATIVE MEDICINE,hospice palliative medicineicine,False,1
Internal Medicine - Physician,,True,0
Licensed Dietician,licensed dietician,False,1
Licensed Social Worker,licensed social worker,False,1
Medical Toxicology,medicineical toxicology,False,1
MENTAL HEALTH,mental health,False,1
NEUROMUSCULAR MEDICINE,neuromuscular medicineicine,False,1
NEUROMUSCULOSKELETAL MEDICINE,neuromusculoskeletal medicineicine,False,1
OB/GYN,obstetrics gynecology,False,1
ONCOLOGY,oncology,False,1
ORAL AND MAXILLOFACIAL SURGERY,oral maxillofacial surgeryery,False,1
PEDIATRIC EMERGENCY MEDICINE,pediatric emergency medicineicine,False,1
Pediatrics - Physician,,True,0
Physical Medicine & Rehab,physical medicineicine rehab,False,1
Physical Medicine and Rehabilitation,physical medicineicine rehabilitation,False,1
Physical Medicine Rehab,physical medicineicine rehab,False,1
PHYSICAL THERAPIST,physical therapist,False,1
REGISTERED DIETICIAN,registered dietician,False,1
Social Worker LISW/LCSW,social worker lisw lcsw,False,1
Surgery - Plastic,surgeryery - plastic,False,1
AA,,True,0
ABA Certified Therapist,aba certified therapist,False,1
AC,,True,0
AD,,True,0
Adult,adult,False,1
ADVANCED LIFE SUPPORT STATEWIDE,advanced life support statewide,False,1
AG,,True,0
AGENCY,agency,False,1
AH,,True,0
AI,,True,0
AL,,True,0
ANESTHESIA,anesthesia,False,1
AO,,True,0
AU,,True,0
AUTISM SPECTRUM,autism spectrum,False,1
Lic Pro Clinical Cnslr LPCC,lic pro clinical cnslr lpcc,False,1
AZ,,True,0
B5,,True,0
BASIC LIFE SUPPORT STATEWIDE,basic life support statewide,False,1
BEHAVIORAL CLINIC,behavioral,False,1
Family Health,family health,False,1
BEHAVIORAL HEALTH CLINIC,behavioral health,False,1
Behavioral Health Counselor,behavioral health counselor,False,1
BEHAVIORAL HEALTH TECHNOLOGIST,behavioral health technologist,False,1
Behavioral Hlth Clinician,behavioral hlth clinician,False,1
BEHAVIORAL TECHNICIAN,behavioral technician,False,1
BEHAVIORAL TREATMENT THERAPIST,behavioral treatment therapist,False,1
BHP,,True,0
LONG TERM SUPPORT SERVICES,long term support services,False,1
BI,,True,0
CLINIC,,True,0
BJ,,True,0
THORACIC,thoracic,False,1
Board Certified,board certified,False,1
CARDIOLOGY,cardiology,False,1
SPEC/TECH,spec tech,False,1
CARDIOLOGY - 207RC0000X,cardiology - 207rc0000x,False,1
CERTIFIED FAMILY HOME,certified family home,False,1
CERTIFIED MEDICAL ASSISTANT,certified medicineical assistant,False,1
CF,,True,0
CHILD,child,False,1
CHILD & ADOLESCENT,child adolescent,False,1
CHILD & FAMILY,child family,False,1
CHLD/FAMILY - 364SP0810X,chld family - 364sp0810x,False,1
CI,,True,0
CIP,,True,0
CJ,,True,0
CK,,True,0
CLINICAL,clinical,False,1
CLINICAL INFORMATICS - OTOLARYNGOLOGY,clinical informatics - otolaryngology,False,1
CLINICALLY MANAGED HIGH INTENSITY,,True,0
CLINICALLY MANAGED LOW INTENSITY SERVICES,,True,0
CLTC,cltc,False,1
COMM BASED RES TREAT FACLTY - MENTAL RETARDATION,comm based res treat faclty - mental retardation,False,1
Art Therapy,art therapy,False,1
COMMUNITY BASED,community based,False,1
Community Health Clinic,,True,0
LAND TRANSPORT,land transport,False,1
ADAPTIVE ASSISTANCE DEVICES,adaptive assistance devices,False,1
COMMUNITY HEALTH WORKERS,workers,False,1
COMMUNITY SUPPORT SERVICES,community support services,False,1
COMPLEX REHAB TECHNOLOGY SUPPLIER,complex rehab technology supplier,False,1
Congenital Cardiac Surgery,congenital cardiac surgeryery,False,1
CONVENIENCE CARE CLINIC,convenience care,False,1
CONVENIENT CARE CLINIC,convenient care,False,1
COUNSELING,counseling,False,1
CR,,True,0
CRISIS INTERVENTION,crisis intervention,False,1
CRISIS INTERVENTION & CSP,crisis intervention csp,False,1
CX,,True,0
POINT OF SERVICE,point of,False,1
CZ,,True,0
DEV DISAB,dev disab,False,1
Developmental Disorder,developmental disorder,False,1
DHEC,dhec,False,1
DIAGNOSTIC,diagnostic,False,1
DJ,,True,0
DM,,True,0
DRG,,True,0
Spinal Cord Injury,,True,0
DT,,True,0
DU,,True,0
DW,,True,0
EA,,True,0
EMPLOYMENT SUPPORT,employment support,False,1
ENDOCRINE SURGERY,endocrine surgeryery,False,1
Urgent Care/After Hours,urgent care after hours,False,1
EU,,True,0
EXCLUDED/OPT OUT,excluded opt out,False,1
F,,True,0
Hand,hand,False,1
FAMILY PRACTICE & OSTEOPATHIC MANIPULATIVE TREATMENT,family practice osteopathic manipulative treatment,False,1
FC,,True,0
MEAL SERVICES,meal services,False,1
FG,,True,0
BEHAVIORAL HEALTH,behavioral health,False,1
FH,,True,0
FISCAL INTERMEDIARY,fiscal intermedicineiary,False,1
FOCUSED TREATMENT LICENSED SUPERVISOR,focused treatment licensed supervisor,False,1
FOOT,foot,False,1
FREE STANDING (HOSPICE),hospice,False,1
ELECTROPHYSIOLOGY,electrophysiology,False,1
FREE STANDING PSYCHIATRIC HOSPITAL,psychiatric,False,1
FW,,True,0
CASE MANAGEMENT,,True,0
SUPPORTS BROKERAGE AGENCY,supports brokerage agency,False,1
GENERAL,general,False,1
General Medicine,general medicineicine,False,1
GERIATRIC,geriatric,False,1
GERIOPSYCHIATRIC,geriopsychiatric,False,1
GF,,True,0
COMMUNITY SUPPORT WORKER,community support worker,False,1
BODY IMAGING,body imaging,False,1
COLON AND RECTAL,colon rectal,False,1
GROUP,group,False,1
INFUSION THERAPY,infusion therapy,False,1
HD,,True,0
AMBULATORY ENDOSCOPY FACILITY,ambulatory endoscopy facility,False,1
AMBULATORY INFUSION THERAPY FACILITY,ambulatory infusion therapy facility,False,1
HI,,True,0
HOME/ENVIRONMENT MODIFICATION,home environment modification,False,1
HOSPICE,hospice,False,1
HOSPICE & PALLIATIVE CARE,hospice palliative care,False,1
HOSPICE INPATIENT,hospice inpatient,False,1
BREAST SURGERY,breast surgeryery,False,1
HOSPICE OUTPATIENT,hospice outpatient,False,1
Hospital,,True,0
HOSPITAL AFFILIATED,affiliated,False,1
HP,,True,0
INDEPENDENT DIAGNOSTIC TESTING FACILITY (IDTF),,True,0
Surgery Transplant,surgeryery transplant,False,1
Outpatient Diagnostic Imaging Center,outpatient diagnostic imaging,False,1
PUBLIC SECTOR,public sector,False,1
INDEPENDENT LAB,independent lab,False,1
Independent Laboratory,independent laboratory,False,1
Ineligible Provider,ineligible provider,False,1
INPATIENT/OUTPATIENT HOSPITAL,inpatient outpatient,False,1
RADIATION THERAPY,radiation therapy,False,1
TRANSPLANT SURGERY,transplant surgeryery,False,1
INFERTILITY,infertility,False,1
TAXI,taxi,False,1
FREE STANDING (RURAL HEALTH CLINIC),,True,0
IP,,True,0
Public Health,public health,False,1
IR,,True,0
JD,,True,0
URGENT CARE - STAFF,urgent care - staff,False,1
JG,,True,0
KW,,True,0
LABORATORY,laboratory,False,1
Clinical Cardiac Electrophysio,clinical cardiac electrophysio,False,1
Contracted,contracted,False,1
LAY,,True,0
INPATIENT,inpatient,False,1
ADULT COMPANION,adult companion,False,1
Int Med,int medicine,False,1
Infectious Diseases,infectious diseases,False,1
RTC - EMOTIONALLY DISTURBED CHILDREN,,True,0
LY,,True,0
HYPERBARIC MEDICINE AND WOUND CARE,hyperbaric medicineicine wound care,False,1
M,,True,0
STUDENT HEALTH,student health,False,1
WOUND CARE,wound care,False,1
AND METABOLISM - 207RE0101X,metabolism - 207re0101x,False,1
Family Practice,family practice,False,1
MDWIFERY,mdwifery,False,1
Mental Health Clinician,mental health clinician,False,1
Mental Health Resident,mental health resident,False,1
TRAUMA SURGERY,trauma surgeryery,False,1
MENTAL ILLNESS,mental illness,False,1
MH/SA AGENCY,mh sa agency,False,1
DOULA NETWORK,doula network,False,1
INFUSION THERAPY CLINIC,infusion therapy,False,1
BUS,,True,0
DRIVER,,True,0
BARIATRIC MEDICINE,bariatric medicineicine,False,1
MISCELLANEOUS,miscellaneous,False,1
CRNA Anesthetist,,True,0
CARDIOVASCULAR DISEASES,cardiovascular diseases,False,1
MOBILE,mobile,False,1
MS,,True,0
NON-COVERED SPECIALTY,non-covered specialty,False,1
NON-SURGICAL,non-surgeryical,False,1
NOSE & THROAT),nose throat,False,1
Nutrition,nutrition,False,1
COMPLEX FAMILY PLANNING,complex family planning,False,1
OPIOID TREATMENT CLINIC,opioid treatment,False,1
ORTHOPEDIC,orthopedicedic,False,1
DEVELOPMENTAL-BEHAVIORAL,developmental-behavioral,False,1
OSTEOPATHIC MANIPULATIVE MEDICINE,osteopathic manipulative medicineicine,False,1
COLON & RECTAL,colon rectal,False,1
OSTEOPATHY,osteopathy,False,1
ADULT - 364SP0809X,adult - 364sp0809x,False,1
REGISTERED,registered,False,1
SURGERY-TRAUMA,surgeryery-trauma,False,1
SURGERY - TRAUMA,surgeryery - trauma,False,1
RECONSTRUCTIVE REARFOOT/ANKLE,reconstructive rearfoot ankle,False,1
RECOVERY CLINIC,recovery,False,1
OT,,True,0
CASE MANAGEMENT AGENCY,,True,0
OTHER - SURGICAL,other - surgeryical,False,1
OTHER NURSE PRACTITIONER,other nurse practitioner,False,1
OTHER-CERTIFIED FIRST ASSISTANT,other-certified first assistant,False,1
Outpatient Psychiatric,outpatient psychiatric,False,1
NEUROSURGERY,neurosurgeryery,False,1
CLINICAL CARDIAC ELECTROPHYSIOLOGY,clinical cardiac electrophysiology,False,1
Peripheral Vascular Surgery,peripheral vascular surgeryery,False,1
Pediatric Genetics,pediatric genetics,False,1
Home Health,home health,False,1
PEDIATRIC SPEECH THERAPIST,pediatric speech therapist,False,1
DIABETES,diabetes,False,1
PER DIEM,per diem,False,1
MOBILE MAMMOGRAPHY,mobile mammography,False,1
HOME MODIFICATIONS,home modifications,False,1
CMMNTY - DVLPMNTL DSBLTS - 320900000X,cmmnty - dvlpmntl dsblts - 320900000x,False,1
PEDIATRIC NEUROSURGERY,pediatric neurosurgeryery,False,1
ORTHOPAEDIC TECHNOLOGY,orthopedicaedic technology,False,1
CONGENITAL CARDIAC,congenital cardiac,False,1
QUALIFIED TREATMENT TRAINEE,qualified treatment trainee,False,1
IMMUNOPATHOLOGY,immunopathology,False,1
PERSONAL CARE SERVICES,,True,0
Pediatric Neonatal Perinatal,,True,0
HEALTH SERVICE CLINIC,health,False,1
CARDIOVASCULAR,cardiovascular,False,1
SURGICAL ASSISTANT,surgeryical assistant,False,1
GERIATRICS,geriatrics,False,1
INTERPRETER,interpreter,False,1
Surgery - General,surgeryery - general,False,1
PERSONAL CARE ATTENDANT SERVICES,,True,0
Radioisotopic Pathology,radioisotopic pathology,False,1
PEST CONTROL BUSINESS,pest control business,False,1
ADULT - 261QM0850X,adult - 261qm0850x,False,1
BEHAVIORAL TREATMENT LICENSED SUPERVISOR,behavioral treatment licensed supervisor,False,1
PHYSICIAN,,True,0
CARDIOVASCULAR DISEASE - STAFF,cardiovascular disease - staff,False,1
AMBULATORY SURGERY,ambulatory surgeryery,False,1
CRITICAL ACCESS - 282NC0060X,critical access - 282nc0060x,False,1
PERSONAL CARE AGENCY,,True,0
PLASTIC,plastic,False,1
Behavioral Health Group,behavioral health group,False,1
PRIVATE SECTOR,private sector,False,1
PHYSICIAN ASSISTANT - BEHAVIORAL HEALTH,,True,0
PULMONOLOGY,pulmonology,False,1
Hematology Oncology,hematology oncology,False,1
CARDIOTHORACIC VASCULAR,cardiothoracic vascular,False,1
PVT MENTAL HEALTH,pvt mental health,False,1
EMERGENCY CARE AMBULATORY FACILITY,emergency care ambulatory facility,False,1
ONCOLOGY FACILITY,oncology facility,False,1
LICENSED - 176B00000X,licensed - 176b00000x,False,1
COUNSELOR,counselor,False,1
GYNECOLOGIC,gynecologic,False,1
DOULA,doula,False,1
Children Intensive Behavioral,,True,0
MOHS-MICROGRAPHIC,mohs-micrographic,False,1
PROCTOLOGY,proctology,False,1
ENDOSCOPY CLINIC,endoscopy,False,1
BEHAVIORAL TREATMENT TECHNICIAN,behavioral treatment technician,False,1
SUPPORTS BROKERAGE,supports brokerage,False,1
X-RAY,x-ray,False,1
Hand Therapy,hand therapy,False,1
RADIOLOGY CLINIC,radiology,False,1
ORTHOPEDIC TRAUMA,orthopedicedic trauma,False,1
SPINE SURGERY,spine surgeryery,False,1
STATE OR LOCAL,state or local,False,1
Laryngology,laryngology,False,1
ENDOCRINOLOGY AND METAB,endocrinology metab,False,1
RADIOLOGY - BODY IMAGING,radiology - body imaging,False,1
Neuromusculoskeletal Medi,neuromusculoskeletal medicinei,False,1
OPTICIAN,optician,False,1
Veterans Hospital,veterans,False,1
Licensed Psychiatric Agency,licensed psychiatric agency,False,1
PAIN CLINIC,pain medicineicine,False,1
General Surgery,general surgeryery,False,1
Therapeutic Roentgenology,therapeutic roentgenology,False,1
CLINICAL SOCIAL WORKER,clinical social worker,False,1
WOMEN - 282NW0100X,women - 282nw0100x,False,1
COMMUNITY/BEHAVIORAL HEALTH,community behavioral health,False,1
BODY IMAGING RADIOLOGY,body imaging radiology,False,1
Family Medicine - Osteopathic Manipulative Treatment,family medicineicine - osteopathic manipulative treatment,False,1
MAMMOGRAPHY,mammography,False,1
Pre-Op Nurse Practitioner,pre-op nurse practitioner,False,1
DIABETES EDUCATION,diabetes education,False,1
RESTORATIVE CARE/THERAPY,restorative care therapy,False,1
CLINICAL/IND PSYCHOLOGIST,clinical ind psychologist,False,1
UROLOGICAL ONCOLOGY,urological oncology,False,1
METHADONE CLINIC,methadone,False,1
TRANSITION ASSISTANCE SERVICES - 305S00000X,transition assistance services - 305s00000x,False,1
CENTERS,centers,False,1
HOSPICE CARE,hospice care,False,1
SOCIAL WORKER - NON-CLINICAL,social worker - non-clinical,False,1
Surgery - Neurological,surgeryery - neurological,False,1
ORTHOPAEDIC HAND,orthopedicaedic hand,False,1
PHYSIOLOGICAL LABORATORY,physiological laboratory,False,1
RF,,True,0
ONCOLOGY CLINIC,oncology,False,1
Rhinology (Osteopaths only),rhinology osteopaths only,False,1
PUBLIC HEALTH FACILITY,public health facility,False,1
SPECIALIST (NON-PAR ONLY),specialist non-par only,False,1
REGISTERED - 133V00000X,registered - 133v00000x,False,1
BODY IMAGING - RADIOLOGY,body imaging - radiology,False,1
RURAL HOSPITAL,rural,False,1
REPRODUCTIVE ENDOCRINOLOGY/INFERTILITY,reproductive endocrinology infertility,False,1
Pathology Hamaetology,pathology hamaetology,False,1
SPECIALIST/NON-CLINICIAN,specialist non-clinician,False,1
HOME INFUSION,home infusion,False,1
RX,,True,0
Licensed Clinical Social Worker,licensed clinical social worker,False,1
RY,,True,0
Licensed Clinical Alcohol and Drug Counselor,,True,0
PRIMARY CARE CLINIC,primary care,False,1
URGENT CARE,urgent care,False,1
HOSPITAL UNIT - PSYCHIATRIC,- psychiatric,False,1
ACUPUNCUTRE,acupuncutre,False,1
Surgery Assistant,surgeryery assistant,False,1
LICENSED INDEPENDENT SOCIAL WORKER,licensed independent social worker,False,1
SC,,True,0
Pediatric Neurological Surgery,pediatric neurological surgeryery,False,1
MULTISPECIALTY GROUP,multispecialty group,False,1
SCDMH,scdmh,False,1
HEALTH EDUCATOR,health educator,False,1
Nutritional Medicine,,True,0
COMMUNITY BEHAVIORAL HEALTH AGENCY,community behavioral health agency,False,1
Surgery - Complex General Surgical Oncology,surgeryery - complex general surgeryical oncology,False,1
SOCIAL WORKER - CLINICAL,social worker - clinical,False,1
REGISTERED ALCOHOL AND DRUG COUNSELOR (RADC)/NTS,,True,0
PSYCHOLOGIST - CLINICAL,psychologist - clinical,False,1
COMMUNITY/BEHAVIORAL HEALTH AGENCY,community behavioral health agency,False,1
SCHOOL BASED LINKED HEALTH CLINICS,school based linked health clinics,False,1
DIABETES & METABOLISM,diabetes metabolism,False,1
COGNITIVE & BEHAVIORAL,cognitive behavioral,False,1
RESPIRATORY THERAPY,respiratory therapy,False,1
MENTAL HEALTH AGENCY,mental health agency,False,1
SCREENER,screener,False,1
RECOVERY CARE CLINIC,recovery care,False,1
SURGERY OF THE HAND,surgeryery of the hand,False,1
SCREENER CASE MANAGEMENT,,True,0
BOARD CERT BEHAVIOR ANALYSTS,,True,0
NURSE MIDWIFE,nurse midwife,False,1
CLINICAL PSYCHOLOGIST,clinical psychologist,False,1
PSYCHOLOGIST - HEALTH,psychologist - health,False,1
DIAGNOSTIC ULTRASOUND,diagnostic ultrasound,False,1
VEHICLE MODIFICATIONS,vehicle modifications,False,1
SD,,True,0
Sleep Disorders,sleep disorders,False,1
BLOOD BANK/TRANSFUSION,blood bank transfusion,False,1
LICENSED PSYCHOTHERAPIST WITH SAC,licensed psychotherapist with sac,False,1
SOCIAL WORKER,social worker,False,1
COUNSELOR - PSYCHOANALYST,,True,0
CHORE PROVIDER,chore provider,False,1
PEDORTHIST,pedorthist,False,1
Neurology Doctor-Hospital,,True,0
NURSES AIDE,nurses aide,False,1
DEVELOPMENTAL THERAPIST,developmental therapist,False,1
Radiation Therapy (Osteopaths only),radiation therapy osteopaths only,False,1
PERSONAL CARE ATTENDANT,,True,0
SE,,True,0
SH,,True,0
Neonatology,,True,0
PEDIATRIC PULMONARY DISEASE,,True,0
Pastoral Counselor,pastoral counselor,False,1
CRITICAL ACCESS HOSPITAL,critical access,False,1
Social Worker (LCSW),social worker lcsw,False,1
CLINICAL PHARMACOLOGY,clinical pharmacology,False,1
FAMILY PLANNING CLINIC,family planning,False,1
HOSPITALIST,hospitalist,False,1
HYGIENIST,hygienist,False,1
HOMEMAKER,homemaker,False,1
LICENSED PROFESSIONAL COUNSELOR,,True,0
SPORTS MED,sports medicineicine,False,1
MAGNETIC RESONANCE IMAGING (MRI),,True,0
ATTENDANT CARE PROVIDER,attendant care provider,False,1
SL,,True,0
SLP,,True,0
CERTIFIED FIRST ASSISTANT,certified first assistant,False,1
PHARMACOLOGY,pharmacology,False,1
LICENSED MENTAL HEALTH COUNSELOR,licensed mental health counselor,False,1
PREVENTATIVE MEDICINE,preventative medicineicine,False,1
ADVANCED NURSE PRACTITIONER-PCP,advanced nurse practitioner-pcp,False,1
CLINICAL - PSYCHOLOGIST,clinical - psychologist,False,1
RN/RCS,rn rcs,False,1
HEMATOLOGY AND ONCOLOGY,hematology oncology,False,1
IN HOME SUPPORTIVE CARE,in home supportive care,False,1
HOSPITAL BASED PHYSICIAN-CARDIOLOGY,,True,0
PULMONARY DISEASE - 207RP1001X,,True,0
CLINICAL CYTOGENETIC,clinical cytogenetic,False,1
HEMATOLOGY/ ONCOLOGY,hematology oncology,False,1
Medical Microbiology,medicineical microbiology,False,1
ONCOLOGY AND HEMATOLOGY,oncology hematology,False,1
Pediatric General Surgery,pediatric general surgeryery,False,1
ALCOHOL & DRUG ABUSE,,True,0
Practical Nurse,practical nurse,False,1
OTOLARYNGOLOGY - STAFF,otolaryngology - staff,False,1
NEUROLOGICAL,neurological,False,1
Osteopathic Medicine,osteopathic medicineicine,False,1
Podiatric Surgery,podiatric surgeryery,False,1
RURAL HEALTH CLINIC,,True,0
Social Worker (CSW),social worker csw,False,1
HOMEMAKER SERVICES,homemaker services,False,1
SLP BACHELOR LEVEL,slp bachelor level,False,1
LICENSED GENETIC COUNSELOR,licensed genetic counselor,False,1
COUNSELOR - PASTORAL,counselor - pastoral,False,1
EMERGENCY CARE CLINIC,emergency care,False,1
HOME HEALTH/PERSONAL CARE AGENCY,,True,0
COLON AND RECTAL SURGERY,colon rectal surgeryery,False,1
SLP MASTER LEVEL,slp master level,False,1
FAM MED HOSPICE & PAL,fam medicine hospice pal,False,1
RESIDNTIAL TREAT FAC - MENTAL RETARDATION/DEVLPMNTAL DISABIL,residntial treat fac - mental retardation devlpmntal disabil,False,1
LICENSED PROFESSIONAL ART THERAPIST,,True,0
Perinatology,,True,0
CONTRACTOR,contractor,False,1
BEHAVIORAL HEALTH NURSE PRACTITIONER,behavioral health nurse practitioner,False,1
Chemical Dependency Counselor,chemical dependency counselor,False,1
Surgery - Vascular,surgeryery - vascular,False,1
SURGERY-VASCULAR,surgeryery-vascular,False,1
Licensed Psychology Practition,licensed psychology practition,False,1
Neuro Radiology,neurology radiology,False,1
AMBULANCE/TRANSPORTATION SERVICES,ambulance transportation services,False,1
ANESTHESIOLOGY ASSISTANT NURSE,anesthesiology assistant nurse,False,1
COUNSELOR - MENTAL HEALTH,counselor - mental health,False,1
Counselor-Mental Health,counselor-mental health,False,1
Endocrinology/Diabetes/Metabol,endocrinology diabetes metabol,False,1
LICENSED PSYCHO EDUCATIONAL SPECIALIST,,True,0
NEONATOLOGY - LA STAFF,,True,0
RADIOLOGY CLINIC - MOBILE,radiology - mobile,False,1
